url,categoria,subcategoria,nombre,sku,marca,precio_ars,stock,unidad,tamano,material,uso,imagen
https://www.neuconmateriales.com.ar/catalog/product/view/id/23437,Construcción,"Chapas lisas, laminadas y metales desplegados",Chapa lisa galvanizada N°12 1m x 2m x 2.5mm,PRADECON-10011,PRADECON,125740.901,14,UNIDAD,1x2m,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/p/r/pradecon-10010v2_1.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/36633,Construcción,"Chapas lisas, laminadas y metales desplegados",Chapa lisa galvanizada N°12 2.5mm x 1.22m x 2.44m,TERNIUM-TEMP-CHALIGALV-12-122244,TERNIUM,146162.5671,0,UNIDAD,,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/t/e/ternium-temp-chaligalv-12-122244.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/23447,Construcción,"Chapas lisas, laminadas y metales desplegados",Chapa lisa galvanizada N°14 1.22m x 2.44m x 2mm,PRADECON-10112,PRADECON,146798.652,4,UNIDAD,1.22x2.44m,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/p/r/pradecon-10111v2_1.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/23448,Construcción,"Chapas lisas, laminadas y metales desplegados",Chapa lisa galvanizada N°16 1.22m x 2.44m x 1.6mm,PRADECON-10113,PRADECON,116968.28,2,UNIDAD,1.22x2.44m,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/p/r/pradecon-10113v2.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/36636,Construcción,"Chapas lisas, laminadas y metales desplegados",Chapa lisa galvanizada N°16 1.6mm x 1m x 2m,TERNIUM-TEMP-CHALIGALV-16-12,TERNIUM,66256.90169999999,0,UNIDAD,,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/t/e/ternium-temp-chaligalv-16-12.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/23449,Construcción,"Chapas lisas, laminadas y metales desplegados",Chapa lisa galvanizada N°18 1.22m x 2.44m x 1.25mm,PRADECON-10114,PRADECON,91322.33,18,UNIDAD,,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/p/r/pradecon-10113v2_1.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/36638,Construcción,"Chapas lisas, laminadas y metales desplegados",Chapa lisa galvanizada N°18 1.25mm x 1m x 2m,TERNIUM-TEMP-CHALIGALV-18-12,TERNIUM,63796.766,0,UNIDAD,,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/t/e/ternium-temp-chaligalv-18-12.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/36640,Construcción,"Chapas lisas, laminadas y metales desplegados",Chapa lisa galvanizada N°20 0.9mm x 1m x 2m,TERNIUM-TEMP-CHALIGALV-20-12,TERNIUM,38699.7204,0,UNIDAD,,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/t/e/ternium-temp-chaligalv-20-12.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/23450,Construcción,"Chapas lisas, laminadas y metales desplegados",Chapa lisa galvanizada N°20 1.22m x 2.44m x 0.9mm,PRADECON-10115,PRADECON,69281.212,22,UNIDAD,1.22x2.44m,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/p/r/pradecon-10113v2_2.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/36642,Construcción,"Chapas lisas, laminadas y metales desplegados",Chapa lisa galvanizada N°22 0.7mm x 1m x 2m,TERNIUM-TEMP-CHALIGALV-22-12,TERNIUM,31474.5684,0,UNIDAD,,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/t/e/ternium-temp-chaligalv-22-12.jpg
